"Total of %d items(s) were successfully saved as Inactive items","%d товар(ов) успешно сохранен(ы) как «Неактивные товары»"
"Total of %d items(s) were successfully removed from Google Base","%d товар(ов) успешно удален(ы) из Google Base"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","%d товар(ов) успешно удален(ы),  %d товар(ов) успешно обновлен(ы)"
"Total of %d product(s) were successfully added to Google Base","%d товар(ов) успешно добавлен(ы) в Google Base"
"Total of %d items(s) were successfully published","%d товар(ов) успешно опубликован(ы)"
"Add Attribute Mapping","Add Attribute Mapping"
"AuthSub","AuthSub"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Current Mapping will be reloaded. Continue?","Current Mapping will be reloaded. Continue?"
"Custom attribute, no mapping","Custom attribute, no mapping"
"Euro","Euro"
"Google Base","Google Base"
"Google Base ID","Google Base ID"
"Invalid Product Model for Google Base Item","Invalid Product Model for Google Base Item"
"Item model is not specified to delete Google Base entry","Item model is not specified to delete Google Base entry"
"Object model is not specified to save Google Base entry","Object model is not specified to save Google Base entry"
"Save Mapping","Save Mapping"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","This action will update items statistics and remove the items which are not available in Google Base. Continue?"
"US Dollar","US Dollar"
"Captcha confirmation error: %s","Код подтверждения введен неверно: %s"
"Captcha confirmed successfully","Код подтверждения введен правильно"
"Items","Пункты"
"Page views","Просмотров страницы"
"Account password","Пароль"
"View Available Products","Посмотреть доступные товары"
"Confirm","Подтвердить"
"Clicks","Переходов"
"Error: %s","Ошибка: %s"
"United Kingdom","Объединенное королевство"
"Update Google Base item when product is updated","Обновлять товар в Google Base при обновлении в магазине"
"Publish","Опубликовать"
"Published","Опубликованно"
"Attribute","Атрибут"
"Google Base Attribute","Атрибут Google Base"
"Attributes","Атрибуты"
"Active","Активен"
"Attribute Set","Набор атрибутов"
"Attributes Set","Набор атрибутов"
"Attribute Set and Item Type","Набор атрибутов или тип товара"
"Product Name","Название товара"
"New Item Type","Новый тип пункта"
"No","Нет"
"No items were saved as Inactive items","Нет товаров, сохраненных как «Неактивные товары»"
"No items were deleted from Google Base","Нет товаров, удаленных из Google Base"
"No products were added to Google Base","Нет товаров, добавленных в Google Base"
"No items were published","Нет опубликованных заказов"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невозможно соединиться с Google Base. Проверьти настройки аккуанта в конфигурации."
"Synchronize","Синхронизировать"
"Hide","Скрыть"
"View Item in Google Base","Смотреть товары в Google Base"
"United States","Соединенные Штаты Америки"
"Google Base Item Type","Тип товара Google Base"
"Google Base Item type","Тип товара Google Base"
"Item type was successfully saved","Тип товара был успешно сохранен"
"Item Type was deleted","Тип пункта был удален"
"Item Types","Типы пункта"
"Google Base Items","Товары Google Base"
"Delete","Удалить"
"Remove","Удалить"
"Delete Mapping","Удалить маппинг"
"Impr.","Улучш."
"Manage Items","Управление товарами"
"Manage Attributes","Управление атрибутами"
"Manage Attribute Mapping","Управление маппингом атрибутов"
"Target Country","Целевая страна"
"Default Store (%s)","Магазин по умолчанию (%s)"
"Attributes mapping","Маппинг атрибутов"
"Expires","Истекает"
"Edit Item Type","Изменить тип товара ""%s"""
"Edit Item Type ""%s""","Изменить тип товара ""%s"""
"Account login","Имя пользователя"
"ClientLogin","Вход клиента"
"Are you sure?","Вы уверены?"
"Please, select Attribute Set and Google Item Type to load attributes","Выберите «Набор атрибутов» и «Тип товара Google» для загрузки атрибутов"
"Germany","Германия"
"Yes","Да"
"Available Products","Доступные товары"
"Add New Attribute","Добавить атрибут"
"Add to Google Base","Добавить в Google Base"
