"%d Review(s)","%d отзыв(ов)"
"%s Review(s)","%s отзыв(ов)"
"(Posted on %s)","(добавлено на %s)"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звезд"
"ID","ID"
"SKU","SKU"
"Product SKU","SKU товара"
"How do you rate this product?","Как вы оцениваете этот продукт?"
"Qty","Кол-во"
"Product","Продукт"
"Detailed Rating","Подробный рейтинг"
"Review Details","Подробности отзыва"
"View Details","Подробнее"
"Please select a product","Пожалуйста, выберите товар"
"Please select one of each of the ratings above","Пожалуйста, выберите один вариант для каждой оценки выше"
"Customer","Пользователь"
"Review","Отзыв"
"Review by %s","Отзыв пользователя %s"
"Reviews and Ratings","Отзывы и рейтинги"
"Pending Reviews","Отзывы на модерации"
"Pending reviews","Отзывы на модерации "
"Product Reviews","Отзывы о товаре"
"Product Review (submitted on %s):","Отзывы о товаре (%s):"
"Customer Reviews","Отзывы пользователей"
"Summary of Your Review","Оценка в целом"
"Summary of review","Оценка в целом"
"Summary Rating","Общий рейтинг"
"Update status","Обновить состояние"
"Administrator","Администратор"
"Back","Назад"
"Name In Store","Название в магазине"
"Product Name","Название продукта"
"Write Your Own Review","Напишите ваш собственный отзыв"
"Nickname","Никнейм"
"New Review","Новый отзыв"
"Unable to post review. Please, try again later.","Не удается разместить отзыв. Пожалуйста, попробуйте еще раз позднее."
"Allow guests to write reviews","Разрешить гостям писать отзывы"
"Be the first to review this product","Разместите первым отзыв для этого товара"
"Product Rating","Рейтинг товара"
"Product Rating:","Рейтинг товара:"
"Rating:","Рейтинг:"
"Average Customer Rating","Средний рейтинг пользователей"
"Average Customer Rating:","Средний рейтинг пользователей"
"Websites","Сайты"
"View All Reviews","Смотреть все отзывы"
"Status","Состояние"
"Save Review","Сохранить отзыв"
"Created On","Создано"
"Posted By","Создано"
"Type","Тип"
"You have submitted no reviews.","У Вас нет отправленных отзывов"
"Are you sure you want to do this?","Уверены?"
"Delete","Удалить"
"Delete Review","Удалить отзыв"
"Manage Ratings","Управление рейтингами"
"Price","Цена"
"My Recent Reviews","Моя последние отзывы"
"Pending reviews of customer `%s`","Модерация отзывов покупателя `%ей`"
"My Product Reviews","Мои отзывы о товарах"
"Summary of Review","Итог отзыва"
"Edit Review '%s'","Изменить отзыв '%s'"
"Name","Имя"
"Title","Заголовок"
"All Reviews","Все отзывы"
"All reviews of customer `%s`","Все отзывы покупателя `%s`"
"Are you sure?","Вы уверены?"
"Your Review (submitted on %s):","Ваш отзыв (отправлен %s):"
"Your review has been accepted for moderation","Ваш отзыв был принят для модерации"
"Your Rating:","Ваша рейтинг:"
"You're reviewing: %s","Ваши отзывы: %s"
"Visible In","Видимый в"
"Back to My Reviews","Вернуться к моим отзывам"
"Back to Product Reviews","Вернуться к отзывам товара"
"Back to Main Product Info","Вернуться к полному описанию"
"Guest","Гость"
"Add Your Review","Добавьте ваш отзыв"
"Add New Review","Добавить новый отзыв"
"Submit Review","Добавить отзыв"
