"Error Email Recipient","Письмо об ошибке. Получатель"
"Price alert Email Template","Письмо оповещения цены. Шаблон"
"Stock alert Email Template","Письмо оповещения о количестве в наличии. Шаблон"
"Sign up for price alert","Подписаться на уведомления о цене"
"Sign up to get notified when this product is back in stock","Подпишитесь, чтобы получить уведомление о том, когда товар появится в наличии"
"Please try again later","Попробуйте позже"
"Unsubscribe from all price alerts","Отказаться от всех ценовых оповещений"
"Unsubscribe from all stock alerts","Отказаться от всех оповещений о появлении в наличии"
"Alert Email Sender","Отправитель оповестительного письма"
"Error Email Sender","Отправитель письма об ошибке"
"Product alerts Cron error","Оповещения для товаров. Ошибка cron"
"Product Alerts","Оповещения о товаре"
"Product stock alert","Оповещение о количестве товара"
"Alert subscription was saved successfully","Оповещение о подписке успешно сохранено"
"Alert subscription was deleted successfully","Оповещение о подписке успешно удалено"
"Product price alert","Оповещение об изменениях цены на товар"
"Product Alerts Run Settings","Настройка запуска оповещений товара"
"Click here not to receive alerts for this product","Нажмите сюда, чтобы не получать уведомлений о данном товаре"
"Not enough parameters","Не достаточно параметров"
"Allow alert when product comes back in stock","Разрешить оповещение когда товар появляется в наличии"
"Allow alert when product price changes","Разрешить оповещение когда изменена цена на товар"
"Special price:","Специальная цена:"
"Product not found","Товар не найден"
"Price:","Цена:"
"Frequency","Частота"
"Error Email Template","Шаблон письма об ошибке"
"You will no longer receive price alerts for this product","Вы больше не будите получать оповещения о цене для этого товара"
"You will no longer receive stock alerts","Вы больше не будите получать оповещения о наличии"
"You will no longer receive stock alerts for this product","Вы больше не будите получать оповещения о наличии для этого товара"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Вы получили это сообщение т.к. подписались на получение уведомлений при изменении цен на следующие товары:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Вы получили это сообщение т.к. подписались на получение уведомлений при появлении в наличии следующих товаров:"
"Start Time","Время начала"
