"* Required Fields","* Поля, обязательные к заполнению"
"Gift Messages","Поздравительные сообщения"
"Gift Message","Поздравительное сообщение было успешно сохранено"
"Gift message has been successfully saved","Поздравительное сообщение было успешно сохранено"
"Error while saving gift message","Ошибка при сохранении поздравительного сообщения"
"Check this checkbox if you want to add gift messages to your items.","Отметьте этот флажок, если вы хотите добавить поздравительное сообщение для ваших товаров"
"Check this checkbox if you want to add gift messages.","Отметьте этот флажок, если вы хотите добавить поздравительное сообщение."
"Cancel","Отменить"
"No","Нет"
"Unknown entity type","Неизвестный тип сущности"
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"Edit","Редактировать"
"Edit Gift Message","Редактировать поздравительное сообщение"
"Enter a gift message for each item in your order.","Редактировать поздравительное сообщение для каждого товара вашего заказа"
"Save","Сохранить"
"Save Gift Message","Сохранить поздравительное сообщение"
"Message","Сообщение"
"Item %d of %d","Товар %d из %d."
"Do you have any gift items in your order?","У вас есть какие-либо поздравительные товары в вашем заказе ?"
"Remove","Удалить"
"To","до"
"Use config","Использовать конфиг-файл"
"From","Из"
"Close","Закрыть"
"Are you sure?","Вы уверены?"
"You can leave a box blank if you don't wish to add a gift message for this address.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этого адреса."
"You can leave a box blank if you don't wish to add a gift message for the item.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этой вещи."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для целого заказа."
"Your gift message has been successfully saved","Ваше поздравительное сообщение сохранено"
"Your gift message successfully saved","Ваше поздравительное сообщение сохранено"
"Your gift message has been successfully removed","Ваше поздравительное сообщение удалено"
"Your gift message successfully removed","Ваше поздравительное сообщение удалено"
"Enter a gift message for this address.","Ввести поздравительное сообщение для этого адреса"
"Enter a gift message for entire order.","Ввести поздравительное сообщение для всего заказа"
"Yes","Да"
"Add","Добавить"
"Add Gift Message","Добавить поздравительное сообщение"
